experience_level,current_difficulty,target_reps,completed_reps,completion_rate,correct_rep_percentage,average_form_score,previous_form_score,performance_trend,sessions_completed,rpe,next_difficulty_action
BEGINNER,HARD,10,9,0.9,0.8564103589129426,86.55019631093327,60.51019503795753,26.040001272975744,11,3,INCREASE
ADVANCED,HARD,14,14,1.0,0.9385419632521341,79.97844344132517,52.51761007438267,27.460833366942502,10,1,INCREASE
BEGINNER,MEDIUM,9,9,1.0,0.973892998500197,78.40058753235616,52.82900883422121,25.571578698134942,16,3,INCREASE
ADVANCED,EASY,15,14,0.9333333333333333,0.9853390248157602,57.37215742437567,50.53929233592485,6.8328650884508235,30,1,INCREASE
BEGINNER,HARD,8,7,0.875,0.5190237419029811,73.21145019758835,98.03390247369305,-24.8224522761047,32,8,MAINTAIN
INTERMEDIATE,EASY,15,14,0.9333333333333333,0.7088580432671177,73.64747606777838,93.08824406030568,-19.4407679925273,26,2,MAINTAIN
INTERMEDIATE,EASY,8,8,1.0,0.8685294422704785,97.76393786628626,96.02088451114963,1.7430533551366238,25,3,INCREASE
BEGINNER,EASY,10,6,0.6,0.7605462636924953,50.73003204300752,88.50058195670914,-37.77054991370162,6,2,MAINTAIN
ADVANCED,EASY,11,9,0.8181818181818182,0.8698784389305059,92.99653666839889,68.87401302213704,24.122523646261854,30,5,INCREASE
ADVANCED,HARD,8,4,0.5,0.5658249492172877,87.52079683562991,54.936089429910936,32.58470740571897,41,4,MAINTAIN
ADVANCED,EASY,14,14,1.0,0.9127557869579631,98.43661228851354,56.126467255101566,42.31014503341198,18,7,INCREASE
BEGINNER,EASY,8,4,0.5,0.6733484169406522,54.712176187991396,50.49091480804434,4.221261379947059,23,1,MAINTAIN
BEGINNER,HARD,12,8,0.6666666666666666,0.7415850474622339,86.29371183167201,60.97052370619977,25.323188125472242,3,5,MAINTAIN
ADVANCED,EASY,13,9,0.6923076923076923,0.9799605678764448,69.27053354899422,70.53118069018224,-1.2606471411880165,16,9,MAINTAIN
BEGINNER,EASY,9,8,0.8888888888888888,0.999848897463324,58.84673476183788,95.95688090279431,-37.11014614095643,14,7,MAINTAIN
INTERMEDIATE,HARD,15,8,0.5333333333333333,0.8043195550221665,69.81156300925214,71.78578484738476,-1.974221838132621,17,10,DECREASE
BEGINNER,MEDIUM,12,12,1.0,0.5760677826322702,54.32926340798171,93.75244811078127,-39.42318470279956,50,2,MAINTAIN
INTERMEDIATE,EASY,15,12,0.8,0.5168202181323984,96.89124460706203,94.13502470574741,2.7562199013146227,45,2,MAINTAIN
BEGINNER,HARD,12,11,0.9166666666666666,0.82856578809383,93.65975620645739,55.4471990005547,38.21255720590269,9,9,MAINTAIN
INTERMEDIATE,EASY,12,12,1.0,0.9721582431357578,73.37016132707782,57.39093550745821,15.979225819619614,26,8,INCREASE
BEGINNER,EASY,14,9,0.6428571428571429,0.8913271436350505,59.75092106884136,74.08939689281347,-14.33847582397211,7,5,MAINTAIN
INTERMEDIATE,MEDIUM,9,9,1.0,0.68526355014856,79.7891922382814,98.1646642337732,-18.375471995491793,38,10,MAINTAIN
INTERMEDIATE,EASY,12,12,1.0,0.5713317560962394,89.0809738461636,79.94446301284813,9.13651083331547,25,8,MAINTAIN
INTERMEDIATE,EASY,14,10,0.7142857142857143,0.7114576874312986,74.65722181814338,94.26777664455742,-19.61055482641403,44,5,MAINTAIN
INTERMEDIATE,MEDIUM,10,5,0.5,0.8112171625089073,77.27158246559758,96.36441791240216,-19.092835446804585,13,9,DECREASE
ADVANCED,EASY,8,5,0.625,0.5150735264873922,50.59712526960956,72.73771845180823,-22.14059318219867,30,9,DECREASE
ADVANCED,MEDIUM,14,14,1.0,0.6525957146198573,50.67663829299356,96.6143096631273,-45.93767137013374,37,5,MAINTAIN
BEGINNER,EASY,15,13,0.8666666666666667,0.8058982064709916,55.50421809604132,60.36507339211824,-4.86085529607692,18,3,MAINTAIN
BEGINNER,MEDIUM,9,6,0.6666666666666666,0.6847472214813075,69.2378315420508,97.81706785253525,-28.579236310484447,5,1,MAINTAIN
INTERMEDIATE,EASY,8,7,0.875,0.9488724187500935,64.40970914476787,75.00076012897374,-10.591050984205864,36,4,MAINTAIN
ADVANCED,MEDIUM,8,6,0.75,0.5325751805955553,57.103009078368935,65.76644119055224,-8.663432112183308,33,9,DECREASE
BEGINNER,MEDIUM,11,10,0.9090909090909091,0.8536586588858284,64.05441388955626,50.200441697385195,13.853972192171064,19,9,MAINTAIN
INTERMEDIATE,HARD,12,11,0.9166666666666666,0.8861623833871954,90.14045806639504,51.202988441881786,38.937469624513255,39,1,INCREASE
ADVANCED,EASY,10,6,0.6,0.8523235712075924,78.52068562542244,76.58967678182502,1.931008843597425,12,6,MAINTAIN
BEGINNER,HARD,13,11,0.8461538461538461,0.938770430325379,63.98412979282261,68.64727918662476,-4.663149393802151,15,7,MAINTAIN
INTERMEDIATE,EASY,12,6,0.5,0.8273114843613876,92.53855037974225,62.1023874217681,30.436162957974148,23,5,MAINTAIN
INTERMEDIATE,HARD,14,8,0.5714285714285714,0.595870336687732,68.02532182420964,55.62610485313018,12.399216971079461,20,8,MAINTAIN
